NAME,SEASON,TM,GP,MPG,PPG,RPG,APG,SPG,BPG,TPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
Anthony Edwards,2022-23,MIN,79,36.0,24.6,5.8,4.4,1.6,0.7,3.3,8.9,19.5,45.9,2.7,7.3,36.9,4.0,5.3,75.6,2842,1946,458,350,125,58,259,186,97
Anthony Edwards,2023-24,MIN,79,35.1,25.9,5.4,5.1,1.3,0.5,3.1,9.1,19.7,46.1,2.4,6.7,35.7,5.4,6.4,83.6,2770,2049,430,405,101,42,241,141,431
Anthony Edwards,2020-21,MIN,72,32.1,19.3,4.7,2.9,1.1,0.5,2.2,7.0,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,2314,1392,336,211,82,36,160,129,-228
Anthony Edwards,2021-22,MIN,72,34.3,21.3,4.8,3.8,1.5,0.6,2.6,7.6,17.3,44.1,3.0,8.4,35.7,3.1,3.9,78.6,2466,1533,343,275,105,46,190,164,188
